Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,1724,278,2821,575.83,0.000%,15.50147,3.74,4.07,246.9
TOTAL,100,1724,278,2821,575.83,0.000%,15.50147,3.74,4.07,246.9
